<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:kecamatan.txt
deskripsi:Data kecamatan Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/kecamatan.txt
primary_key:kode_kecamatan
sifat_tabel:master;hirarki
struktur_tabel:kode_kecamatan;nama_kecamatan
</META>
<DATA>
kode_kecamatan;nama_kecamatan
82.01.01.0000;JAILOLO
36.01.01.0000;S U M U R
36.01.02.0000;CIMANGGU
36.01.03.0000;CIBALIUNG
36.01.04.0000;CIKEUSIK
36.01.05.0000;CIGEULIS
36.01.06.0000;PANIMBANG
36.01.07.0000;ANGSANA
36.01.08.0000;MUNJUL
36.01.10.0000;BOJONG
36.01.11.0000;PICUNG
36.01.12.0000;LABUAN
36.01.13.0000;MENES
36.01.14.0000;SAKETI
36.01.15.0000;CIPEUCANG
36.01.16.0000;J I P U T
36.01.17.0000;MANDALAWANGI
36.01.18.0000;CIMANUK
36.01.19.0000;KADUHEJO
36.01.20.0000;BANJAR
36.01.21.0000;PANDEGLANG
36.01.22.0000;CADASARI
36.01.23.0000;CISATA
36.01.24.0000;PATIA
36.01.25.0000;KARANG TANJUNG
36.01.26.0000;CIKEDAL
36.02.01.0000;MALINGPING
36.02.02.0000;PANGGARANGAN
36.02.03.0000;B A Y A H
36.02.04.0000;CIPANAS
36.02.05.0000;M U N C A N G
36.02.06.0000;LEUWIDAMAR
36.02.07.0000;BOJONGMANIK
36.02.08.0000;GUNUNGKENCANA
36.02.09.0000;BANJARSARI
36.02.10.0000;CILELES
36.02.11.0000;CIMARGA
36.02.12.0000;S A J I R A 
36.02.13.0000;M  A  J  A
36.02.14.0000;RANGKASBITUNG
36.02.15.0000;WARUNGGUNUNG
36.02.16.0000;CIJAKU
36.02.17.0000;CIKULUR
36.02.18.0000;CIBADAK
36.02.19.0000;CIBEBER
36.03.01.0000;BALARAJA
36.03.02.0000;JAYANTI
36.03.03.0000;TIGARAKSA
36.03.04.0000;JAMBE
36.03.05.0000;CISOKA
36.03.06.0000;KRESEK
36.03.07.0000;KRONJO
36.03.08.0000;M A U K
36.03.09.0000;KEMIRI
36.03.10.0000;SUKADIRI
36.03.11.0000;R A J E G
36.03.12.0000;PASAR KEMIS
36.03.13.0000;TELUKNAGA
36.03.14.0000;KOSAMBI
36.03.15.0000;PAKUHAJI
36.03.16.0000;SEPATAN
36.03.17.0000;C U R U G
36.03.18.0000;CIKUPA
36.03.19.0000;PANONGAN
36.03.20.0000;L E G O K
36.03.21.0000;SERPONG
36.03.22.0000;PAGEDANGAN
36.03.23.0000;CISAUK
36.03.24.0000;PONDOK AREN
36.03.25.0000;PAMULANG
36.03.26.0000;CIPUTAT
36.04.01.0000;SERANG
36.04.02.0000;CIPOCOK JAYA
36.04.03.0000;KASEMEN
36.04.04.0000;TAKTAKAN
36.04.05.0000;KRAMATWATU
36.04.06.0000;WARINGINKURUNG
36.04.07.0000;BOJONEGARA
36.04.08.0000;PULO AMPEL
36.04.09.0000;CIRUAS
36.04.10.0000;WALANTAKA
36.04.11.0000;KRAGILAN
36.04.12.0000;PONTANG
36.04.13.0000;TIRTAYASA
36.04.14.0000;T A N A R A
36.04.15.0000;CIKANDE
36.04.16.0000;KIBIN
36.04.17.0000;CARENANG
39.04.18.0000;BINUANG
36.04.19.0000;P E T I R
36.04.20.0000;TANJUNG TEJA
36.04.21.0000;C U R U G
36.04.22.0000;B A R O S
36.04.23.0000;CIKEUSAL
36.04.24.0000;PAMARAYAN
36.04.25.0000;K O P O
36.04.26.0000;JAWILAN
36.04.27.0000;C I O M A S
36.04.28.0000;PABUARAN
36.04.29.0000;PADARINCANG
36.04.30.0000;A N Y A R
36.04.31.0000;CINANGKA
36.04.32.0000;M A N C A K
36.71.01.0000;TANGERANG
36.71.02.0000;JATIUWUNG
36.71.03.0000;BATU CEPER
36.71.04.0000;BENDA
36.71.05.0000;CIPONDOH
36.71.06.0000;CILEDUG
36.71.07.0000;KARAWACI
36.71.08.0000;PERIUK
36.71.09.0000;CIBODAS
36.71.10.0000;NEGLASARI
36.71.11.0000;PINANG
36.71.12.0000;KARANG TENGAH
36.71.13.0000;LARANGAN
36.72.01.0000;CIBEBER
36.72.02.0000;CILEGON
36.72.03.0000;PULOMERAK
36.72.04.0000;CIWANDAN
36.72.05.0000;JOMBANG
36.72.06.0000;GEROGOL
36.72.07.0000;PURWAKARTA
36.72.08.0000;CITANGKIL
.0000;
17.01.01.0000;KEDURANG
17.01.02.0000;SEGINIM
17.01.03.0000;P  I  N  O
17.01.04.0000;MANNA
17.01.05.0000;KOTA MANNA
17.01.06.0000;PINO RAYA
17.02.01.0000;KOTA PADANG
17.02.02.0000;PADANG ULAK  TANDING
17.02.03.0000;SINDANG KELINGI
17.02.04.0000;CURUP
17.02.05.0000;BERMANI ULU
17.02.06.0000;SELUPU REJANG
17.03.01.0000;ENGGANO
17.03.02.0000;TALANG EMPAT
17.03.03.0000;KARANG TINGGI
17.03.04.0000;TABA PENANJUNG
17.03.05.0000;PAGAR JATI
17.03.06.0000;KERKAP
17.03.07.0000;ARGA MAKMUR
17.03.08.0000;GIRI MULIA
17.03.09.0000;PADANG JAYA
17.03.10.0000;LAIS
17.03.11.0000;BATIK NAU
17.03.12.0000;KETAHUN
17.03.13.0000;NAPAL PUTIH
17.03.14.0000;PUTRI HIJAU
17.03.15.0000;AIR BESI
17.03.16.0000;AIR NAPAL
17.03.17.0000;PEMATANG TIGA
17.03.18.0000;PONDOK KELAPA
17.04.01.0000;LUBUK PINANG
17.04.02.0000;MUKO-MUKO UTARA
17.04.03.0000;TERAS TERUNJAM
17.04.04.0000;PONDOK SUGUH
17.04.05.0000;MUKO-MUKO SELATAN
17.05.01.0000;SUKARAJA
17.05.02.0000;SELUMA
17.05.03.0000;TALO
17.05.04.0000;SEMIDANG ALAS
17.05.05.0000;SEMIDANG ALAS MARAS
17.06.01.0000;KINAL
17.06.02.0000;TANJUNG KEMUNING
17.06.03.0000;KAUR UTARA
17.06.04.0000;KAUR TENGAH 
17.06.05.0000;KAUR SELATAN
17.06.06.0000;MAJE
17.06.07.0000;NASAL
17.07.01.0000;LEBONG UTARA
17.07.02.0000;LEBONG ATAS
17.07.03.0000;LEBONG TENGAH
17.07.04.0000;LEBONG SELATAN
17.07.05.0000;RIMBO PENGADANG
17.08.01.0000;BERMANI ILIR
17.08.02.0000;UJAN MAS
17.08.03.0000;TEBAT KARAI
17.08.04.0000;KEPAHIANG
17.71.01.0000;SELEBAR
17.71.02.0000;GADING CEMPAKA
17.71.03.0000;TELUK SEGARA
17.71.04.0000;MUARA BANGKA HULU
34.01.01.0000;TEMON
34.01.02.0000;WATES
34.01.03.0000;PANJATAN
34.01.04.0000;GALUR
34.01.05.0000;LENDAH
34.01.06.0000;SENTOLO
34.01.07.0000;PENGASIH
34.01.08.0000;KOKAP
34.01.09.0000;GIRIMULYO
34.01.10.0000;NANGGULAN
34.01.11.0000;SAMIGALUH
